;;;;;0
1;2;103;2;1;0.0
1;2;104;1;1;0.0
1;2;104;2;1;0.0
1;2;105;1;1;0.0
1;2;105;2;1;0.0
1;2;106;1;1;0.0
1;2;106;2;1;0.0
1;2;107;1;1;0.0
1;2;107;2;1;0.0
1;2;108;1;1;0.0
1;2;108;2;1;0.0
1;2;109;1;1;0.0
1;2;109;2;1;0.0
1;2;110;1;1;0.0
1;2;110;2;1;0.0
1;2;111;1;1;0.0
1;2;111;2;1;0.0
1;2;112;1;1;0.0
1;2;112;2;1;0.0
1;2;113;1;1;0.0
1;2;113;2;1;0.0
1;2;114;1;1;0.0
1;2;114;2;1;0.0
1;2;115;1;1;0.0
1;2;115;2;1;0.0
1;2;116;1;1;0.0
1;2;116;2;1;0.0
1;2;117;1;1;0.0
1;2;117;2;1;0.0
1;2;118;1;1;0.0
1;2;118;2;1;0.0
1;2;119;1;1;0.0
1;2;119;2;1;0.0
1;2;120;1;1;0.0
1;2;120;2;1;0.0
1;2;121;1;1;0.0
1;2;121;2;1;0.0
1;2;122;1;1;0.0
1;2;122;2;1;0.0
1;2;123;1;1;0.0
1;2;123;2;1;0.0
1;2;124;1;1;0.0
1;2;124;2;1;0.0
1;2;125;1;1;0.0
1;2;125;2;1;0.0
1;2;126;1;1;0.0
1;2;126;2;1;0.0
1;2;127;1;1;0.0
1;2;127;2;1;0.0
1;2;128;1;1;0.0
1;2;128;2;1;0.0
1;2;129;1;1;0.0
1;2;129;2;1;0.0
1;2;130;1;1;0.0
1;2;130;2;1;0.0
1;2;131;1;1;0.0
1;2;131;2;1;0.0
1;2;132;1;1;0.0
1;2;132;2;1;0.0
1;2;133;1;1;0.0
1;2;133;2;1;0.0
1;2;134;1;1;0.0
1;2;134;2;1;0.0
1;2;135;1;1;0.0
1;2;135;2;1;0.0
1;2;136;1;1;0.0
1;2;136;2;1;0.0
1;2;137;1;1;0.0
1;2;137;2;1;0.0
1;2;138;1;1;0.0
1;2;138;2;1;0.0
1;2;139;1;1;0.0
1;2;139;2;1;0.0
1;2;140;1;1;0.0
1;2;140;2;1;0.0
1;2;141;1;1;0.0
1;2;141;2;1;0.0
1;2;142;1;1;0.0
1;2;142;2;1;0.0
1;2;143;1;1;0.0
1;2;143;2;1;0.0
1;2;144;1;1;0.0
1;2;144;2;1;0.0
1;2;145;1;1;0.0
1;2;145;2;1;0.0
1;2;146;1;1;0.0
1;2;146;2;1;0.0
1;2;147;1;1;0.0
1;2;147;2;1;0.0
1;2;148;1;1;0.0
1;2;148;2;1;0.0
