;;0
2;1;1.7559233801762462e-16
2;55;3.594151967442985e-18
2;45;5.3090225959551985e-16
2;47;2.52392091335165e-17
2;43;4.881174720502363e-16
2;48;2.5245778466329895e-17
2;44;8.356682804576182e-16
2;2;5.298859606514278e-15
2;52;2.595347583381466e-17
2;56;2.530727493765564e-17
2;4;5.563678857058913e-16
2;8;4.770577475946774e-16
2;21;6.284070535493763e-16
2;49;2.5455398216986865e-17
2;40;2.6100956564901365e-15
2;51;2.615229931772941e-17
2;5;5.581641903911397e-16
2;53;2.5307879970534466e-17
2;29;7.020559627428143e-16
2;61;7.020559627428143e-16
2;31;8.696435819739617e-17
2;16;6.571887792977357e-16
2;32;5.7052851016961284e-15
2;33;1.1707837394480472e-15
2;19;8.341968610441613e-16
2;24;6.924386660182712e-16
2;30;2.6100956564901365e-15
2;34;2.6100956564901365e-15
2;58;3.594151967442985e-18
2;6;3.588581834736496e-16
2;20;1.627017794997122e-15
2;27;3.4348364227445554e-16
2;28;3.482082832189001e-16
2;9;7.635859738618064e-16
2;35;1.7559233801762462e-16
2;60;3.594151967442985e-18
2;46;7.646956818050668e-16
2;12;1.1707837394480472e-15
2;59;3.594151967442985e-18
2;13;1.008484554568962e-14
2;14;6.656716283872497e-16
2;10;3.402517673524807e-16
2;36;4.17064469664494e-16
2;17;7.304690220529644e-16
2;57;3.594151967442985e-18
2;38;1.7559233801762462e-16
2;50;3.594151967442985e-18
2;11;3.4441826552873925e-16
2;25;3.0101451922202824e-16
2;41;4.628483508470334e-16
2;18;1.2914028683278246e-15
2;22;1.2838248311464637e-15
2;23;1.0105865811474885e-15
2;39;2.3084853299132235e-16
2;26;3.0101451922202824e-16
3;37;4.3872324995337237e-16
3;3;3.767437468446905e-16
3;54;3.613235554001966e-18
3;15;6.785620468622728e-16
3;7;3.4982647600347865e-16
3;42;9.075207580423542e-16
3;1;1.756114721218273e-16
3;55;3.613235554001966e-18
3;45;5.316313633101441e-16
3;47;2.6475135943394493e-17
3;43;5.685943528705387e-16
3;48;2.6195879526444692e-17
3;44;9.055353188956659e-16
3;2;7.197915746484598e-15
3;52;2.56498815160218e-17
3;56;2.5232280472904168e-17
3;4;6.378371003377199e-16
3;8;4.915874473419957e-16
3;21;6.731891940628233e-16
3;49;2.5222525296667298e-17
3;40;2.622379448593491e-15
3;51;2.484043350237572e-17
3;5;6.351444884671165e-16
3;53;2.5292325569184086e-17
3;29;7.035435557664538e-16
3;61;7.035435557664538e-16
3;31;8.697570795914078e-17
3;16;6.760063202850781e-16
3;32;5.735883822701119e-15
3;33;1.1752311200604218e-15
3;19;8.363888217451145e-16
3;24;6.938557827009885e-16
3;30;2.622379448593491e-15
3;34;2.622379448593491e-15
3;58;3.613235554001966e-18
3;6;3.6628197907903304e-16
3;20;1.8280113333710678e-15
3;27;3.4375516151076406e-16
3;28;3.48489770732333e-16
3;9;7.653925657227022e-16
3;35;1.756114721218273e-16
3;60;3.613235554001966e-18
3;46;7.642214003740259e-16
3;12;1.1752311200604218e-15
3;59;3.613235554001966e-18
3;13;5.567842613185159e-16
3;14;6.808819896078704e-16
3;10;3.405167536483855e-16
3;36;4.1750554313517696e-16
3;17;7.32101680559423e-16
3;57;3.613235554001966e-18
3;38;1.756114721218273e-16
3;50;3.613235554001966e-18
3;11;3.446916849265462e-16
3;25;3.0120696952268055e-16
3;41;4.634009634843909e-16
3;18;1.267819400916024e-15
3;22;1.270418322681538e-15
3;23;1.0099642208900848e-15
3;39;2.3095219926709293e-16
3;26;3.0120696952268055e-16
4;37;4.3869391057769795e-16
4;3;3.7829247581381063e-16
4;54;3.6119315028313636e-18
4;15;6.879949093721088e-16
4;7;3.5054999294423415e-16
4;42;9.092117791850934e-16
4;1;1.7560666515960687e-16
4;55;3.6119315028313636e-18
4;45;5.315382619471196e-16
4;47;2.6524779117973253e-17
4;43;5.750129699503989e-16
4;48;2.6353275585664857e-17
4;44;9.256416859220272e-16
4;2;7.261088419544873e-15
4;52;2.558785586352588e-17
4;56;2.5214972445117923e-17
4;4;6.366302968747368e-16
4;8;4.92055342178271e-16
4;21;6.827590276061861e-16
4;49;2.5314448727829655e-17
